Provincia,Departamento,Cant_BP,Cant_EE,Poblacion
La Pampa,CALEU CALEU,1,5,2611
La Pampa,LIHUEL CALEL,1,3,428
Mendoza,MENDOZA CAPITAL,3,176,123715
Mendoza,SAN CARLOS,5,69,39752
Mendoza,LUJAN DE CUYO,6,106,171883
Misiones,MONTECARLO,4,64,38620
Misiones,LIBERTADOR GRL SAN MARTIN,2,98,52166
Misiones,GENERAL MANUEL BELGRANO,2,168,45456
Neuquén,PEHUENCHES,2,27,29721
Río Negro,PILCANIYEU,2,16,9309
San Juan,IGLESIA,2,30,8826
Santiago del Estero,JUAN F IBARRA,1,69,20567
Santiago del Estero,CHOYA,2,86,43692
Santiago del Estero,ATAMISQUI,1,41,14894
Santiago del Estero,QUEBRACHOS,1,57,12336
Tucumán,CHICLIGASTA,1,76,92308
Buenos Aires,SAN PEDRO,2,100,68353
Buenos Aires,TRES DE FEBRERO,9,273,362319
Buenos Aires,GENERAL SAN MARTIN,14,294,444503
Buenos Aires,MALVINAS ARGENTINAS,5,227,349401
Buenos Aires,GENERAL PINTO,4,30,12842
Buenos Aires,LEANDRO N. ALEM,3,34,17153
Buenos Aires,CAÑUELAS,2,97,70542
Buenos Aires,BERAZATEGUI,6,286,358328
Buenos Aires,ENSENADA,5,54,63978
Buenos Aires,SUIPACHA,1,33,11736
Buenos Aires,GENERAL ARENALES,2,34,16231
Catamarca,LA PAZ,2,96,26341
Catamarca,PACLIN,2,34,4696
Catamarca,BELEN,5,125,30353
Córdoba,UNION,7,197,113635
Córdoba,SAN ALBERTO,2,105,42029
Córdoba,ISCHILIN,2,71,36023
Catamarca,VALLE VIEJO,4,41,33951
Corrientes,BELLA VISTA,1,72,44369
Corrientes,SANTO TOME,2,78,71922
Corrientes,PASO DE LOS LIBRES,3,57,56778
Chaco,BERMEJO,3,56,28060
Chaco,SAN LORENZO,1,42,16045
Chaco,FRAY JUSTO SANTA MARIA DE ORO,1,31,10643
Chubut,SARMIENTO,1,19,14477
Entre Ríos,VILLAGUAY,3,130,55284
Entre Ríos,ISLAS DEL IBICUY,1,37,13984
Jujuy,PALPALA,4,44,65522
La Pampa,QUEMU QUEMU,4,18,8404
La Pampa,LA PAMPA CAPITAL,8,133,118504
La Pampa,GUATRACHE,5,17,9397
La Rioja,CASTRO BARROS,4,15,5810
Mendoza,GODOY CRUZ,3,146,194557
Mendoza,TUPUNGATO,1,42,41168
Mendoza,MALARGUE,1,53,32596
Misiones,APOSTOLES,1,69,50503
Misiones,CAINGUAS,3,186,59875
Neuquén,ÑORQUIN,2,12,5572
Neuquén,CONFLUENCIA,40,317,467217
Neuquén,LACAR,4,34,39567
Neuquén,LONCOPUE,1,8,7696
Río Negro,CONESA,1,15,7398
Neuquén,ALUMINE,3,14,10173
Salta,METAN,2,47,48028
Salta,SANTA VICTORIA,1,28,9411
San Juan,VALLE FERTIL,2,45,8425
San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,10,165,260769
San Luis,GOBERNADOR DUPUY,2,25,14334
San Luis,BELGRANO,2,45,5575
Santa Cruz,GUER AIKE,8,109,137309
Santa Fe,GENERAL OBLIGADO,14,263,197533
Santa Fe,ROSARIO,39,781,1337958
Tucumán,MONTEROS,5,68,77469
Tucumán,CRUZ ALTA,4,155,227688
Buenos Aires,SAN MIGUEL,4,263,327650
Buenos Aires,SAAVEDRA,3,43,21407
Buenos Aires,DOLORES,1,46,31405
Buenos Aires,GENERAL VIAMONTE,2,41,22530
Buenos Aires,RAMALLO,4,49,39648
Buenos Aires,ESCOBAR,2,217,256071
Buenos Aires,BAHIA BLANCA,15,282,334505
Buenos Aires,GENERAL LAS HERAS,1,38,17980
Buenos Aires,LINCOLN,7,92,45191
Buenos Aires,LAPRIDA,1,32,11496
Buenos Aires,GUAMINI,5,42,11662
Catamarca,CATAMARCA CAPITAL,4,121,186466
Córdoba,RIO SEGUNDO,7,161,113311
Córdoba,MARCOS JUAREZ,11,164,107286
Corrientes,EMPEDRADO,1,50,17948
Corrientes,GOYA,3,155,106223
Corrientes,ITATI,1,21,11946
Corrientes,SAN ROQUE,2,42,22682
Corrientes,CONCEPCION,2,55,26270
Chaco,O HIGGINS,1,51,21544
Entre Ríos,CONCORDIA,5,165,197603
Entre Ríos,FEDERAL,2,76,29436
Entre Ríos,NOGOYA,4,125,42954
Formosa,FORMOSA,8,227,268572
Jujuy,YAVI,2,34,25831
La Pampa,RANCUL,6,28,11090
La Pampa,CONHELO,5,30,15094
Misiones,CANDELARIA,4,52,34945
Neuquén,PICUN LEUFU,1,6,5087
Neuquén,LOS LAGOS,1,19,15502
Río Negro,VALCHETA,1,14,4300
Salta,CERRILLOS,2,28,55713
Salta,LA CALDERA,2,15,12246
San Juan,CAUCETE,1,62,44017
San Juan,ULLUM,1,6,6454
Santiago del Estero,BANDA,13,213,170401
Santiago del Estero,SANTIAGO DEL ESTERO CAPITAL,26,274,328824
Santiago del Estero,OJO DE AGUA,2,60,15008
