Provincia,departamento,Jardines,Poblacion Jardin,primarias,poblacion_primaria,secundarios,poblacion_secundaria,poblacion_total
Entre Ríos,COLON,57.0,5907,52.0,8095,22.0,6808,74890
Jujuy,DOCTOR MANUEL BELGRANO,131.0,23048,86.0,36369,60.0,29775,319469
Jujuy,EL CARMEN,47.0,11018,41.0,15576,25.0,12999,122259
Jujuy,SAN ANTONIO,6.0,539,6.0,820,2.0,617,6729
Jujuy,VALLE GRANDE,5.0,194,7.0,332,4.0,273,2490
Jujuy,SUSQUES,3.0,439,4.0,604,7.0,483,3966
Jujuy,YAVI,22.0,2367,19.0,3247,5.0,2798,25831
La Pampa,MARACO,26.0,5292,25.0,7633,21.0,6334,69067
La Pampa,LA PAMPA CAPITAL,72.0,8258,42.0,12927,36.0,10902,118504
La Pampa,TOAY,7.0,1540,7.0,2436,4.0,1773,17927
La Pampa,ATREUCO,8.0,769,8.0,1146,6.0,1002,11053
La Rioja,LA RIOJA CAPITAL,99.0,15697,84.0,23293,43.0,20533,210507
La Rioja,ARAUCO,15.0,1353,13.0,1915,9.0,1593,16251
La Rioja,FAMATINA,13.0,479,14.0,757,5.0,711,6984
La Rioja,CASTRO BARROS,6.0,409,7.0,626,3.0,511,5810
Mendoza,GUAYMALLEN,109.0,25349,86.0,36996,45.0,29798,320871
Misiones,MISIONES CAPITAL,138.0,33142,118.0,47460,45.0,37696,391498
Misiones,OBERA,96.0,11680,105.0,16152,56.0,12528,120703
Misiones,CONCEPCION,14.0,1087,20.0,1384,2.0,1152,10303
Neuquén,CATAN LIL,6.0,220,7.0,368,0.0,258,2641
Neuquén,LOS LAGOS,9.0,1136,8.0,1861,5.0,1466,15502
Río Negro,GENERAL ROCA,174.0,29296,165.0,43425,85.0,35515,379627
Río Negro,25 DE MAYO,11.0,1353,12.0,1877,7.0,1607,16555
Río Negro,AVELLANEDA,24.0,3407,29.0,4940,11.0,4126,41160
Río Negro,ÑORQUINCO,2.0,113,2.0,141,3.0,127,1452
Río Negro,9 DE JULIO,9.0,274,7.0,408,3.0,321,3682
Salta,SALTA CAPITAL,200.0,47812,157.0,72054,116.0,59245,624003
Salta,ANTA,57.0,7052,56.0,9429,20.0,7601,69442
Salta,LOS ANDES,4.0,875,3.0,1130,3.0,923,7182
Salta,CACHI,16.0,832,16.0,1236,5.0,883,8928
Salta,RIVADAVIA,65.0,5048,69.0,6427,14.0,4929,38062
Salta,METAN,30.0,4326,27.0,5695,12.0,4488,48028
