Provincia,departamento,Jardines,Poblacion Jardin,primarias,poblacion_primaria,secundarios,poblacion_secundaria,poblacion_total
Corrientes,SAN LUIS DEL PALMAR,36.0,1862,40.0,2392,7.0,2129,21381
Corrientes,SAN COSME,22.0,1633,20.0,2191,6.0,1708,19679
Corrientes,PASO DE LOS LIBRES,33.0,5442,35.0,7451,10.0,6405,56778
Corrientes,CONCEPCION,26.0,2791,29.0,3721,5.0,3145,26270
Chaco,COMANDANTE FERNANDEZ,54.0,8579,65.0,12218,28.0,10680,101086
Entre Ríos,ISLAS DEL IBICUY,25.0,1271,25.0,1790,7.0,1491,13984
Entre Ríos,LA PAZ,85.0,6549,97.0,9094,28.0,7510,75271
La Pampa,LOVENTUE,6.0,647,7.0,993,7.0,858,9243
La Pampa,CURACO,2.0,99,2.0,125,2.0,90,1103
La Rioja,SANAGASTA,1.0,230,1.0,361,1.0,270,2994
La Rioja,GENERAL LAMADRID,2.0,158,2.0,191,1.0,187,1885
La Rioja,VINCHINA,6.0,224,7.0,294,4.0,257,2695
La Rioja,CHAMICAL,13.0,1307,24.0,1589,14.0,1472,15630
La Rioja,GENERAL SAN MARTIN,14.0,394,23.0,643,16.0,550,5017
Mendoza,RIVADAVIA,43.0,5261,31.0,7683,9.0,6036,63589
Mendoza,TUNUYAN,42.0,5158,31.0,7833,9.0,6153,59972
Misiones,LEANDRO N. ALEM,57.0,4430,64.0,6082,37.0,4879,49391
Misiones,IGUAZU,76.0,10641,75.0,14290,20.0,10929,99838
Misiones,LIBERTADOR GRL SAN MARTIN,53.0,5227,55.0,6927,22.0,5525,52166
Misiones,SAN IGNACIO,66.0,6498,74.0,8670,33.0,6716,63194
Neuquén,ALUMINE,8.0,878,8.0,1208,3.0,1021,10173
Neuquén,MINAS,5.0,737,12.0,1061,3.0,831,9267
Río Negro,CONESA,9.0,605,9.0,840,2.0,630,7398
Salta,MOLINOS,8.0,516,8.0,837,5.0,706,5808
San Juan,25 DE MAYO,22.0,2294,21.0,2998,16.0,2605,20824
San Luis,BELGRANO,7.0,444,25.0,651,26.0,545,5575
Santa Cruz,LAGO ARGENTINO,8.0,2180,7.0,3312,7.0,2596,25384
Santa Cruz,RIO CHICO,3.0,585,3.0,874,3.0,653,6271
Santiago del Estero,JUAN F IBARRA,31.0,2152,48.0,3004,17.0,2585,20567
Santiago del Estero,GUASAYAN,18.0,900,23.0,1095,15.0,941,9251
Tucumán,LULES,40.0,8542,32.0,12694,22.0,9951,93464
Tucumán,TUCUMÁN CAPITAL,233.0,44089,138.0,60342,135.0,50598,587289
Tucumán,BURRUYACU,57.0,4330,57.0,6034,44.0,4942,45459
Tucumán,JUAN B ALBERDI,19.0,2908,19.0,4124,13.0,3462,34745
Buenos Aires,AZUL,57.0,5390,55.0,8219,27.0,7066,75152
Buenos Aires,MORON,150.0,18044,90.0,28780,86.0,26584,329517
Buenos Aires,PATAGONES,35.0,2857,30.0,4262,15.0,3335,37499
Buenos Aires,TRES ARROYOS,52.0,4260,43.0,6392,22.0,5392,61889
Buenos Aires,SAN FERNANDO,87.0,11498,55.0,17900,46.0,15461,171099
Buenos Aires,PILAR,132.0,34493,108.0,49944,102.0,41528,393614
Buenos Aires,ARRECIFES,29.0,2644,20.0,3542,10.0,2961,32077
Buenos Aires,NAVARRO,29.0,1501,30.0,2341,9.0,2082,19888
Buenos Aires,PUAN,25.0,998,18.0,1459,13.0,1232,16391
Buenos Aires,NECOCHEA,62.0,6914,51.0,10545,36.0,9347,101483
Buenos Aires,HIPOLITO YRIGOYEN,9.0,789,8.0,1110,5.0,965,10581
Buenos Aires,BARADERO,39.0,3225,27.0,4372,19.0,3818,39223
Buenos Aires,GENERAL GUIDO,7.0,236,14.0,338,3.0,304,3157
Buenos Aires,SUIPACHA,22.0,981,14.0,1328,6.0,1257,11736
Buenos Aires,GENERAL BELGRANO,20.0,1618,16.0,2272,9.0,1893,20674
Buenos Aires,TORNQUIST,27.0,997,20.0,1549,11.0,1238,14591
Catamarca,PACLIN,15.0,317,13.0,512,5.0,450,4696
Catamarca,TINOGASTA,30.0,2024,39.0,2784,14.0,2684,25254
Catamarca,ANTOFAGASTA DE LA SIERRA,4.0,142,4.0,241,1.0,174,1822
Catamarca,VALLE VIEJO,15.0,2667,18.0,3862,12.0,3346,33951
Córdoba,RIO PRIMERO,63.0,5303,74.0,6664,28.0,5637,58181
Córdoba,SAN JUSTO,158.0,17737,172.0,24255,84.0,21387,228951
Córdoba,UNION,90.0,8748,98.0,12013,41.0,10336,113635
Córdoba,TERCERO ARRIBA,66.0,9114,70.0,12660,39.0,10615,120207
Córdoba,ISCHILIN,37.0,3125,41.0,4159,10.0,3859,36023
Corrientes,GOYA,82.0,9035,94.0,12729,25.0,11020,106223
Chaco,QUITILIPI,24.0,3168,43.0,3819,12.0,3539,32430
Chaco,12 DE OCTUBRE,24.0,2262,31.0,2851,12.0,2323,23179
Chaco,PRESIDENCIA DE LA PLAZA,10.0,1353,15.0,1853,4.0,1510,13938
Chaco,1§ DE MAYO,9.0,1360,12.0,1810,4.0,1262,14265
Entre Ríos,PARANA,251.0,27975,225.0,40780,119.0,34203,388716
Formosa,PIRANE,69.0,6830,98.0,9417,61.0,7940,72560
Formosa,RAMON LISTA,6.0,2421,23.0,3239,11.0,2578,17678
Jujuy,SANTA CATALINA,8.0,282,8.0,350,4.0,304,2641
La Pampa,UTRACAN,12.0,1321,14.0,2084,10.0,1668,17686
La Rioja,SAN BLAS DE LOS SAUCES,6.0,345,7.0,501,4.0,422,4306
La Rioja,GENERAL OCAMPO,9.0,567,29.0,765,6.0,696,7347
Misiones,SAN JAVIER,32.0,2346,40.0,3294,9.0,2470,23080
Neuquén,CHOS MALAL,10.0,1298,18.0,2162,2.0,1701,18289
Río Negro,VALCHETA,6.0,337,8.0,457,4.0,367,4300
Salta,ROSARIO DE LERMA,30.0,4735,30.0,6604,8.0,5208,50961
Salta,LA CANDELARIA,6.0,596,7.0,904,3.0,755,7182
Salta,LA CALDERA,14.0,966,8.0,1430,3.0,1076,12246
Salta,LA POMA,5.0,167,5.0,260,2.0,234,1789
San Juan,SAN JUAN CAPITAL,62.0,7849,59.0,10619,50.0,9248,114849
San Juan,ALBARDON,13.0,2958,13.0,4253,8.0,3543,31281
San Juan,CALINGASTA,16.0,1104,17.0,1476,14.0,1116,10667
San Juan,ULLUM,2.0,614,2.0,864,1.0,704,6454
San Luis,CORONEL PRINGLES,12.0,1180,22.0,1710,25.0,1641,16044
Santa Fe,GENERAL LOPEZ,102.0,14884,103.0,20764,54.0,17525,200455
Santa Fe,9 DE JULIO,61.0,2720,77.0,3636,16.0,3285,30942
Santa Fe,LAS COLONIAS,109.0,8519,105.0,11728,40.0,10201,114730
Santa Fe,CASEROS,33.0,5966,37.0,8294,27.0,7108,86261
Santa Fe,BELGRANO,19.0,3597,28.0,4903,14.0,4293,48544
Santa Fe,GARAY,20.0,2349,22.0,2920,8.0,2238,24853
Santa Fe,SAN MARTIN,47.0,5177,52.0,7148,21.0,5857,67299
Santiago del Estero,BANDA,120.0,16118,104.0,21600,62.0,17110,170401
Santiago del Estero,SALAVINA,26.0,1294,36.0,1746,19.0,1654,12775
Santiago del Estero,SILIPICA,14.0,861,16.0,1173,14.0,1076,9766
Santiago del Estero,COPO,33.0,3908,78.0,4966,19.0,4367,35653
Santiago del Estero,JIMENEZ,27.0,1847,39.0,2376,31.0,2055,18622
Tucumán,TRANCAS,24.0,2185,24.0,2854,17.0,2478,23438
Tucumán,TAFI VIEJO,61.0,15052,49.0,21744,36.0,17829,172877
Tucumán,MONTEROS,43.0,6523,40.0,9280,23.0,7910,77469
Buenos Aires,GENERAL PINTO,15.0,1104,13.0,1321,7.0,1175,12842
Buenos Aires,PEHUAJO,36.0,3474,34.0,4827,17.0,4284,44594
Buenos Aires,LOMAS DE ZAMORA,199.0,50825,178.0,76967,188.0,65257,685644
Buenos Aires,EZEIZA,63.0,17155,44.0,25615,44.0,21089,198620
Buenos Aires,ENSENADA,28.0,4917,18.0,7776,16.0,6660,63978
Buenos Aires,MERCEDES,46.0,5457,40.0,7882,24.0,6753,71002
Buenos Aires,CORONEL DORREGO,30.0,1131,20.0,1609,10.0,1418,15795
Buenos Aires,LA COSTA,34.0,7455,25.0,11364,21.0,10072,100400
Buenos Aires,CARLOS CASARES,34.0,1731,23.0,2491,14.0,2110,22905
Buenos Aires,PRESIDENTE PERON,22.0,10170,19.0,14476,17.0,11730,101994
Buenos Aires,SAN ANDRES DE GILES,44.0,2151,29.0,3031,16.0,2583,26399
Buenos Aires,GENERAL RODRIGUEZ,46.0,14137,33.0,20970,33.0,15698,142315
Buenos Aires,GENERAL ALVEAR,18.0,758,26.0,1137,6.0,912,10150
Buenos Aires,SALADILLO,37.0,2716,37.0,3785,13.0,3339,35423
Buenos Aires,GENERAL LAS HERAS,27.0,1466,16.0,2054,6.0,1823,17980
Buenos Aires,TRES LOMAS,12.0,682,7.0,989,4.0,831,9090
Catamarca,ANDALGALA,17.0,1535,26.0,2037,12.0,2051,19545
Catamarca,CATAMARCA CAPITAL,51.0,14250,46.0,20132,35.0,17544,186466
Catamarca,POMAN,14.0,988,20.0,1480,8.0,1321,12219
Catamarca,FRAY MAMERTO ESQUIU,10.0,1207,10.0,1651,5.0,1397,14624
Córdoba,CÓRDOBA CAPITAL,437.0,105777,388.0,149261,290.0,132716,1498060
Córdoba,SANTA MARIA,70.0,12002,70.0,16655,43.0,13320,139012
Córdoba,CRUZ DEL EJE,73.0,5650,81.0,7539,21.0,6409,64748
Córdoba,TOTORAL,25.0,1943,34.0,2627,11.0,2260,22473
Córdoba,GENERAL ROCA,29.0,2905,35.0,3828,16.0,3338,36064
Corrientes,EMPEDRADO,24.0,1574,36.0,2041,6.0,1795,17948
Corrientes,LAVALLE,38.0,4432,37.0,5545,14.0,4384,40406
Corrientes,SALADAS,26.0,2703,26.0,3566,8.0,3134,29126
Corrientes,SAN MIGUEL,13.0,1287,14.0,1758,6.0,1480,12700
Chaco,25 DE MAYO,16.0,3301,33.0,4543,8.0,3788,32606
Chaco,FRAY JUSTO SANTA MARIA DE ORO,15.0,968,19.0,1305,4.0,1039,10643
Chubut,ESCALANTE,97.0,16668,62.0,25207,44.0,20255,214829
Chubut,FUTALEUFU,32.0,3522,23.0,5702,19.0,4656,49965
Chubut,GASTRE,3.0,83,3.0,108,5.0,97,1181
Entre Ríos,NOGOYA,78.0,3364,90.0,4731,25.0,3961,42954
Formosa,PATIÑO,80.0,8070,104.0,11476,53.0,8864,81600
Formosa,PILCOMAYO,69.0,8934,58.0,11883,43.0,9453,94116
Formosa,PILAGAS,25.0,1864,33.0,2530,18.0,2118,19089
Formosa,BERMEJO,29.0,1763,42.0,2371,20.0,1864,15600
Jujuy,SANTA BARBARA,15.0,1905,15.0,2848,9.0,2152,20497
La Pampa,TRENEL,4.0,435,4.0,580,4.0,495,5637
La Pampa,CONHELO,10.0,1023,10.0,1567,9.0,1227,15094
La Pampa,CHICAL CO,2.0,110,2.0,180,2.0,163,1461
La Pampa,HUCAL,5.0,486,5.0,693,4.0,617,7713
Mendoza,SAN CARLOS,45.0,3475,29.0,5109,11.0,4018,39752
Mendoza,LUJAN DE CUYO,66.0,13914,56.0,20822,23.0,17463,171883
Mendoza,TUPUNGATO,25.0,3810,22.0,5685,9.0,4481,41168
Misiones,APOSTOLES,32.0,5262,32.0,6783,12.0,5453,50503
Neuquén,PEHUENCHES,10.0,2678,15.0,4093,5.0,3242,29721
Neuquén,COLLON CURA,4.0,360,4.0,535,1.0,461,4832
Neuquén,HUILICHES,10.0,1713,8.0,2530,4.0,1973,20853
Río Negro,ADOLFO ALSINA,54.0,4517,35.0,7124,21.0,6046,63845
San Juan,CHIMBAS,21.0,9879,26.0,13494,19.0,11469,103772
San Juan,SAN MARTIN,12.0,1586,12.0,2165,5.0,1718,15037
San Juan,ANGACO,12.0,969,12.0,1380,8.0,1164,10172
San Luis,JUNIN,21.0,2825,30.0,4272,34.0,3956,40289
Santa Cruz,GUER AIKE,39.0,10573,42.0,16392,33.0,13731,137309
Santa Fe,IRIONDO,41.0,5742,50.0,7768,23.0,6189,73636
Santa Fe,SAN JUSTO,45.0,3766,50.0,5112,17.0,4294,46486
Santa Fe,SAN LORENZO,53.0,16356,58.0,22850,40.0,17689,193786
Santiago del Estero,PELLEGRINI,51.0,2632,72.0,3634,40.0,2937,26193
Santiago del Estero,OJO DE AGUA,29.0,1392,45.0,1714,10.0,1633,15008
Santiago del Estero,SAN MARTIN,26.0,1183,35.0,1602,20.0,1480,11183
Tucumán,LA COCHA,17.0,1894,18.0,2557,13.0,2282,21196
